Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,43502
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,67339
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42239854
Afghanistan,AFG,Urban population,SP.URB.TOTL,11376460
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,20920159
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,21319695
Afghanistan,AFG,Rural population,SP.RUR.TOTL,30863394
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1102378
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,1968846
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,739112053
Africa Eastern and Southern,AFE,Urban population,SP.URB.TOTL,283341348
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,372987069
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,366124984
Africa Eastern and Southern,AFE,Rural population,SP.RUR.TOTL,455770705
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,705335
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,934638
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,502789511
Africa Western and Central,AFW,Urban population,SP.URB.TOTL,249561635
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,249986197
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,252803314
Africa Western and Central,AFW,Rural population,SP.RUR.TOTL,253227876
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,46084
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,55051
Albania,ALB,"Population, total",SP.POP.TOTL,2768265
Albania,ALB,Urban population,SP.URB.TOTL,1788382
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1389347
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1378918
Albania,ALB,Rural population,SP.RUR.TOTL,979883
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,213911
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,268893
Algeria,DZA,"Population, total",SP.POP.TOTL,45606480
Algeria,DZA,Urban population,SP.URB.TOTL,34327085
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,22389320
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,23217161
Algeria,DZA,Rural population,SP.RUR.TOTL,11279395
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
